word,com1,com2,lable
مَشک ,مشک از پوست گوسفند یا بز تهیه می شود.,"محصول مشک ، کره و دوغ است که از کره ی آن روغن اعلای کرمانشاهی به دست می آید .",entailment
مُشک,مُشک دسته‌ای از مواد معطر است.,این اسانس بویی مانند مشک دارد که تقریبا آروماتیک و چوبی و خاکی است و بویی شیرین و پودری می گیرد.,entailment
مُشک,تُلُم زدن یا مشک زدن کاری بسیار سخت و طاقت فرسا است که تو سط زنان انجام می شود . ,مُشک دسته‌ای از مواد معطر است.,contradiction
کِشت ,خرید پکیج کشت پاییزه شامل 16 نوع بذر با موارد ذیل می باشد.,"کشاورزان باید هنگام تصمیم‌گیری در مورد کشت یک محصول خاص عواقب کار خود را هم در نظر داشته باشند و با اقدام به کشت یک محصول با نیاز آبی بالا، سرمایه‌های آبی خود را به مخاطره نیاندازند.",entailment
کِشت ,خرید پکیج کشت پاییزه شامل 16 نوع بذر با موارد ذیل می باشد., او هر کسی را که دوست نداشت می‌کشت و سال ۱۹۵۳ خودش هم تن به مرگ داد.,contradiction
کِشت ,محصولات قابل کشت در پایان تابستان کدام هستند؟,قیمت اصلی پک کشت پاییزه ارائه شده به صورت تک تک ارزشی معادل 100000 تومان دارد که شما می ‌توانید با پرداخت 85000 تومان این پکیج کاشت پاییزی را خریداری نمایید.,entailment
کـُشت,آتیلا حتی به برادر خودش هم رحم نکرد و برای قدرت او را کشت., او هر کسی را که دوست نداشت می‌کشت و سال ۱۹۵۳ خودش هم تن به مرگ داد.,entailment
تـَنگ,"دلایل مختلفی برای تنگ بودن لباس وجود دارد برای مثال شست‌وشوی نامناسب ،قرار گرفتن لباس نخی در شرایط نامناسب و خرید لباس کوچک می‌تواند از دلایل تنگ بودن لباس ها باشد.",آب موجود در لباس تنگ بعد از خشک شدن باعث می شود گشادتر شود.,entailment
تـُنگ,تنگ نوعی ظرف است که اغلب برای نگهداری مایعات از آن استفاده می‌شود.,تنگ یک دهانه دارد که از آن می‌توان مایع را ریخت یا نوشید و اغلب یک دسته نیز دارد.,entailment
تـُنگ,در داخل تنگ می توان ماهی انداخت و در سفره عید از آن استفاده کرد.,"بیشتر تنگها در طول تاریخ از سرامیک، شیشه یا پلاستیک ساخته شده‌اند.",entailment
تـُنگ,"بیشتر تنگها در طول تاریخ از سرامیک، شیشه یا پلاستیک ساخته شده‌اند.","بیشتر تنگها در طول تاریخ از سرامیک، شیشه یا پلاستیک ساخته شده‌اند.",entailment
تـُنگ,تنگ نوعی ظرف است که اغلب برای نگهداری مایعات از آن استفاده می‌شود.,"دلایل مختلفی برای تنگ بودن لباس وجود دارد برای مثال شست‌وشوی نامناسب ،قرار گرفتن لباس نخی در شرایط نامناسب و خرید لباس کوچک می‌تواند از دلایل تنگ بودن لباس ها باشد.",contradiction
تـُنگ,"بیشتر تنگها در طول تاریخ از سرامیک، شیشه یا پلاستیک ساخته شده‌اند.","دلایل مختلفی برای تنگ بودن لباس وجود دارد برای مثال شست‌وشوی نامناسب ،قرار گرفتن لباس نخی در شرایط نامناسب و خرید لباس کوچک می‌تواند از دلایل تنگ بودن لباس ها باشد.",contradiction
شِکـَر ,نزدیک به ۸۰٪ از شکر تولیدی در جهان از نیشکر و مابقی از چغندر قند به‌دست می‌آید. ,برزیل به‌تنهایی حدود نیمی از شکر دنیا را تولید می‌کند.,entailment
شـُکر,شُکر سپاسگزاری و قدردانی زبانی و عملی از نعمت‌های خدا است.,"بر همین اساس، شکر نعمت باعث برکت و افزون شدن آنها می‌شود.",entailment
مِلک,ملک به معنای موجوداتى است که مخلوق و واسطۀ بين خدا و بين عالم مشهوداند.,"  زمین، ساختمان، موجودی نقدی و موجودی کالا، یا به صورت حقوق مالی و امتیازات غیرقابل رؤیت، مثل سرقفلی و مطالبات از اشخاص را ملک گویند.",contradiction
مِلک,"ملک و در علم حسابداری، کلیهٔ اموال و حقوقی است که دارای ارزش پولی باشند.",دهان تنگ شیرینش مگر ملک سلیمان است,contradiction
مِلک,"ملک و در علم حسابداری، کلیهٔ اموال و حقوقی است که دارای ارزش پولی باشند.","  زمین، ساختمان، موجودی نقدی و موجودی کالا، یا به صورت حقوق مالی و امتیازات غیرقابل رؤیت، مثل سرقفلی و مطالبات از اشخاص را ملک گویند.",entailment
مُلک,"همان‌طور که در نسخه‌ی مصحح پژمان بختیاری آمده، تشبیه کردن دهان تنگ یار به ملک پهناور سلیمان بسیار نابجاست",دهان تنگ شیرینش مگر ملک سلیمان است,entailment
مَلَک,ملک الموت به اذن خداوند روح انسان‌ها را از جسم جدا می‌کند.,ملک به معنای موجوداتى است که مخلوق و واسطۀ بين خدا و بين عالم مشهوداند.,entailment
کـُشتی,مسابقات کشتی آزاد و فرنگی  نونهالان استان کهگیلویه و بویراحمد به منظور حضور در رقابت های کشوری برگزار شد.,تفاهم نامه همکاری بین رؤسای هیئت کشتی استان های شمال غرب کشور به امضاء رسید.,entailment
کـُشتی,کشتی های تجاری مدرن امروزی در شکل ها و اندازه های مختلفی وجود دارند و برای حمل انواع بارها طراحی می شوند.,تفاهم نامه همکاری بین رؤسای هیئت کشتی استان های شمال غرب کشور به امضاء رسید.,contradiction
کـُشتی,تفاهم نامه همکاری بین رؤسای هیئت کشتی استان های شمال غرب کشور به امضاء رسید.,ملوان ها از واژه گره برای سرعت کشتی استفاده می کنند.,contradiction
کِشتی,کشتی های تجاری مدرن امروزی در شکل ها و اندازه های مختلفی وجود دارند و برای حمل انواع بارها طراحی می شوند.,شرکت مرسک دارای ۵۸۳ کشتی می باشد که از این تعداد ۲۶۵ فروند برای خود شرکت و ۳۱۸ فروند کشتی مابقی در اجاره این شرکت می باشد.,entailment
کِشتی,ملوان ها از واژه گره برای سرعت کشتی استفاده می کنند.,کشتی های تجاری مدرن امروزی در شکل ها و اندازه های مختلفی وجود دارند و برای حمل انواع بارها طراحی می شوند.,entailment
